StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
4,0,200304,3.98,50,1.4,-0.57,3.92,1.38,1,408,1.72,0.88,0.37,0.72,0.46,0.34,-0.34,39.4,60.7
4,0,200305,1.09,62,1.53,1.53,0.85,1.53,35,163,0.52,1.64,0.91,0.68,0.52,0.42,-0.23,48.6,75.4
4,0,200306,0.04,71.2,1.53,1.53,0.46,1.53,116,44,-1.27,0.06,1.47,-0.17,0.51,0.42,-0.24,56.4,86.1
4,0,200307,0.22,78.7,-0.19,1.18,-0.58,0.8,320,0,0.54,-0.78,0.12,0.36,0.71,0.45,-0.25,63.5,93.8
4,0,200308,0.57,75,-0.01,1.23,0.5,1.04,272,2,1.59,1.46,0.32,0.92,0.7,0.53,-0.18,60.8,89.2
4,0,200309,0.17,72.9,-0.4,0.7,-1.2,-0.17,206,9,-0.55,0.41,0.45,1.47,-0.13,0.54,-0.21,57.7,88
4,0,200310,0.09,65.4,-1.35,-1.35,-2.96,-1.35,93,61,-1.61,-1.72,-1.11,-1,0.07,0.54,-0.28,50.6,80.2
4,0,200311,2.35,46.8,-1.28,-1.28,-0.21,-1.28,0,435,0.07,-0.59,-0.76,-0.68,0.3,0.39,-0.5,36.9,56.7
4,0,200312,5.77,44,0.66,0.66,1.98,0.66,0,532,0.97,0.69,0.32,0.37,0.93,-0.01,-0.44,35.2,52.8
4,0,200401,2.27,43.5,0.14,0.14,-1.35,-0.45,0,544,-0.63,0.2,0.09,-0.15,-0.16,0.03,-0.5,34,53
4,0,200402,5.88,44.2,1.01,1.01,2.66,1.01,0,501,0.95,0.23,0.61,0.24,0.25,0.58,0.07,34.9,53.6
4,0,200403,1.08,56.9,-1.19,-1.19,-3.58,-1.19,20,233,-1.2,0.17,-0.28,-0.07,-0.03,0.33,-0.03,43.5,70.2
4,0,200404,0.7,57.3,-1.7,-1.7,-1.88,-1.7,18,233,-0.86,-1.64,-0.12,-0.02,-0.2,-0.21,-0.04,43.9,70.7
4,0,200405,0.45,63.2,-2.15,-2.15,-1.89,-2.15,56,126,-0.6,-1.18,-1.86,-0.06,-0.33,-0.32,-0.04,49.2,77.2
4,0,200406,0.08,70.4,-2.8,-2.8,-2.62,-2.8,115,44,-0.98,-1.09,-1.38,-0.62,-0.33,-0.3,-0.04,55.6,85.2
4,0,200407,0.06,76.1,-3.26,-3.26,-2.24,-3.26,246,1,-1.03,-1.39,-1.45,-0.34,-0.15,-0.33,-0.04,61.2,91
4,0,200408,0.19,74.8,-3.23,-3.23,-0.91,-3.23,230,1,-0.02,-0.59,-1.16,-2.35,-0.12,-0.4,-0.01,60,89.7
4,0,200409,0.14,69.4,-3.26,-3.26,-1.09,-3.26,158,20,-0.71,-0.66,-1,-1.94,-0.73,-0.4,-0.01,54.2,84.5
4,0,200410,3.72,58.2,1.6,-1.33,4.79,0.66,14,189,2.1,1.94,1.88,1.19,0.24,0.2,0.39,46.4,69.9
4,0,200411,1.68,47.7,1.26,-1.37,-0.53,0.34,0,439,-0.37,0.91,0.8,0.61,-0.77,0.06,0.24,37.4,57.9
4,0,200412,5.51,44.6,1.73,-0.62,1.82,1.66,0,511,0.88,0.41,1.08,0.97,0.48,0.01,-0.07,35.2,54.1
4,0,200501,5.56,44.1,2.33,2.33,2.33,2.33,0,519,0.66,0.92,0.63,1.06,0.88,0.59,0.32,35.8,52.4
4,0,200502,4.03,47.1,2.28,2.28,0.56,2.28,0,421,0.3,0.57,0.84,1,0.92,0.23,0.48,38.1,56.1
4,0,200503,3.69,51.1,2.21,2.21,0.5,2.21,1,379,0.44,0.39,0.59,1.02,0.96,0.69,0.59,40,62.2
4,0,200504,1.79,53,2.09,2.09,0.33,2.09,6,329,0.36,0.45,0.39,0.66,0.95,0.83,0.34,40.4,65.6
4,0,200505,2.54,62.2,3.17,3.17,3.88,3.17,44,145,1.93,1.28,0.96,1.05,1.17,1.11,0.52,49.5,74.8
4,0,200506,0.67,66.2,3.83,3.83,2.96,3.83,70,84,1.19,2.11,1.41,0.9,1.23,1.18,0.59,52.6,79.9
4,0,200507,0.14,78.4,4.58,4.58,3.43,4.58,307,0,-0.11,1.01,2.11,0.85,0.93,1.19,0.58,63.2,93.5
4,0,200508,0.29,75.8,4.08,4.08,-0.08,3.99,261,1,0.52,0.31,0.97,1.05,1.09,1.2,0.56,60.6,91
4,0,200509,0.32,66.9,3.55,3.55,-0.32,3.29,90,51,0.03,0.13,0.01,1.32,0.89,1.22,0.57,52,81.7
4,0,200510,1,59.9,3.01,3.01,-0.54,2.48,25,153,-0.06,-0.22,-0.16,1.45,0.75,0.88,0.66,46.8,73
4,0,200511,2.26,52.4,2.42,2.42,-0.83,1.54,8,278,0.02,-0.1,-0.15,0.04,0.72,0.98,0.66,40.8,64
4,0,200512,7.81,46.1,3.46,3.46,3.88,3.46,0,455,1.63,1.25,1.12,1.11,1.54,1.3,0.9,36.6,55.5
4,0,200601,4.54,44.6,3.49,3.49,1.15,3.49,0,513,0.33,1.19,1.03,0.94,1.3,1.26,1.24,35,54.2
4,0,200602,2.69,47.7,2.84,2.84,-0.86,2.44,0,397,-0.28,-0.01,0.83,0.63,0.69,1.01,0.76,35.3,60.1
4,0,200603,5.41,44,3.71,3.71,3.48,3.71,0,584,1.13,0.49,0.46,0.96,0.95,1.22,1.25,34.4,53.7
4,0,200604,4.16,53,4.61,4.61,3.84,4.61,2,355,1.81,1.66,1.05,1.3,1.24,1.46,1.59,42.1,63.9
4,0,200605,0.73,64.6,-0.05,4.09,-0.14,3.98,58,121,-0.02,1.56,1.59,1.35,1.2,1.24,1.62,50.7,78.5
4,0,200606,0.15,73.2,-0.14,3.57,-0.3,3.29,193,15,-0.56,-0.34,1.43,0.8,1.18,1.17,1.62,58.6,87.8
4,0,200607,0.15,79.3,-0.68,2.64,-1.67,1.68,377,0,-0.02,-0.61,-0.4,0.94,1.23,1.17,1.64,64.4,94.2
4,0,200608,0.06,73.8,-1.1,1.88,-1.47,0.36,213,5,-1.09,-0.87,-1.06,1.45,1.29,1.14,1.61,58.5,89.2
4,0,200609,0.06,69.5,-1.44,1.23,-1.37,-0.73,142,24,-1.39,-1.8,-1.5,1.1,0.72,1.1,1.62,54.2,84.8
4,0,200610,0.45,58.8,-1.78,0.62,-1.45,-1.71,19,175,-0.84,-1.29,-1.5,-1.58,0.61,1.05,1.27,45.3,72.2
4,0,200611,2.08,51.3,-1.91,-1.91,-0.95,-1.91,8,305,-0.1,-0.53,-0.78,-1.03,0.87,1.06,1.32,40.3,62.2
4,0,200612,3.13,43.9,-2.02,-2.02,-0.93,-2.02,0,520,-0.1,-0.25,-0.49,-0.68,0.04,0.32,1.1,33.1,54.7
4,0,200701,0.81,41.5,-3.09,-3.09,-3.81,-3.09,0,608,-1.64,-1.09,-1.04,-1.38,-1.44,-0.37,0.57,29.5,53.6
4,0,200702,4.24,46.7,-2.81,-2.81,-0.12,-2.79,0,435,0.38,-0.68,-0.7,-1,-1.08,-0.09,0.57,36.3,57
4,0,200703,0.74,54.4,-3.73,-3.73,-3.65,-3.73,10,297,-1.56,-0.48,-1.25,-1.36,-1.55,-0.93,0.23,40.9,68
4,0,200704,1.27,56.3,-3.65,-3.65,-0.91,-3.65,13,272,-0.12,-1.41,-0.57,-1.21,-1.51,-1.56,0.18,43.1,69.4
4,0,200705,0.32,64.1,-3.88,-3.88,-1.81,-3.88,49,135,-0.96,-0.65,-1.76,-1.34,-1.61,-1.71,-0.06,49.5,78.6
4,0,200706,0.12,70.5,-4.28,-4.28,-2.38,-4.28,124,39,-0.73,-1.35,-0.83,-1.45,-1.52,-1.73,-0.12,55.2,85.9
4,0,200707,0.18,76.9,-4.47,-4.47,-1.9,-4.47,269,1,0.23,-0.61,-1.35,-0.8,-1.4,-1.72,-0.12,62,91.8
4,0,200708,0.12,76.1,-4.42,-4.42,-1.24,-4.42,283,1,-0.51,-0.29,-0.86,-2.09,-1.45,-1.72,-0.13,61.1,91.1
4,0,200709,0.5,67.5,-3.92,-3.92,0.13,-3.81,106,41,0.5,0.16,0.12,-0.8,-1.49,-1.56,-0.12,53.6,81.5
4,0,200710,1.5,58.6,-3.33,-3.33,0.55,-2.96,28,163,0.48,0.48,0.35,-0.46,-0.68,-1.3,-0.06,46,71.1
4,0,200711,0.82,53.3,-3.88,-3.88,-2.67,-3.88,7,280,-1.09,-0.67,-0.62,-0.82,-1.85,-1.6,-0.23,41,65.6
4,0,200712,3.21,41.2,-3.75,-3.75,-0.83,-3.75,0,604,-0.07,-0.68,-0.53,-0.54,-0.89,-1.56,-0.8,31.8,50.7
4,0,200801,7.11,41.1,-2.36,-2.36,3.04,-1.11,0,600,1.11,0.76,0.27,0.32,0.14,-0.32,-0.54,32.6,49.7
4,0,200802,2.76,45.8,-2.33,-2.33,-0.66,-1.33,0,456,-0.25,0.64,0.44,0.12,0.05,-0.61,-0.47,34.7,56.9
4,0,200803,0.61,50.3,-3.18,-3.18,-3.26,-3.18,4,387,-1.72,-1.16,0.01,-0.34,-0.34,-0.57,-1.05,37.5,63.1
4,0,200804,0.34,54.4,-3.53,-3.53,-2.03,-3.53,11,289,-1.64,-3.09,-1.58,-0.63,-0.56,-0.7,-1.51,40.3,68.4
4,0,200805,0.54,61.7,-3.6,-3.6,-1.29,-3.6,30,168,-0.39,-1.59,-2.91,-0.37,-0.6,-0.67,-1.58,48.3,75.1
4,0,200806,0.03,71.1,-3.98,-3.98,-2.25,-3.98,157,27,-1.36,-0.99,-1.84,-0.4,-0.66,-0.67,-1.6,55.5,86.7
4,0,200807,0.14,76.5,-4.22,-4.22,-1.96,-4.22,265,1,-0.11,-1.22,-1.09,-1.93,-0.76,-0.68,-1.61,61.7,91.4
4,0,200808,0.12,76.6,-4.2,-4.2,-1.25,-4.2,282,1,-0.51,-0.53,-1.3,-3.09,-0.45,-0.68,-1.62,61.6,91.6
4,0,200809,0.04,71.8,-4.29,-4.29,-1.56,-4.29,191,12,-1.74,-1.49,-1.36,-2.88,-0.52,-0.77,-1.6,56.3,87.3
4,0,200810,0.7,61.8,-4.3,-4.3,-1.35,-4.3,65,93,-0.45,-0.95,-1.07,-1.61,-2.17,-0.97,-1.53,47.6,76.1
4,0,200811,2.41,53.9,-4.13,-4.13,-0.81,-4.13,12,246,0.11,-0.18,-0.41,-0.68,-2.17,-0.68,-1.52,42.9,64.9
4,0,200812,3.05,42,-3.99,-3.99,-0.87,-3.99,0,581,-0.14,-0.16,-0.32,-0.49,-1.12,-0.71,-1.54,32.4,51.7
4,0,200901,1.27,46.9,-4.81,-4.81,-3.69,-4.81,5,433,-1.26,-0.95,-0.84,-1.09,-1.25,-2.08,-1.46,35.5,58.2
4,0,200902,4.64,45.2,-4.15,-4.15,0.47,-3.92,0,471,0.53,-0.4,-0.49,-0.69,-0.79,-1.57,-1.37,35.4,55.1
4,0,200903,2.26,49.2,-4.08,-4.08,-1.05,-4.08,1,427,-0.31,0.15,-0.54,-0.68,-0.8,-1.21,-1.2,37,61.4
4,0,200904,0.57,54.3,-4.2,-4.2,-1.63,-4.2,8,306,-1.09,-0.79,-0.18,-0.77,-0.97,-1.1,-1.27,40.7,67.9
4,0,200905,1.24,66.7,-3.67,-3.67,0.28,-3.51,87,89,0.71,-0.43,-0.56,-0.7,-0.85,-0.95,-1.19,52.7,80.6
4,0,200906,0.6,67.5,-3.39,-3.39,-0.27,-3.27,79,68,1.02,0.93,-0.2,-0.59,-0.7,-0.82,-1.12,54.3,80.7
4,0,200907,0.05,77.6,-3.27,-3.27,-0.68,-3.27,289,0,-1.18,0.58,0.8,-0.01,-0.64,-0.83,-1.14,62.2,93
4,0,200908,0.12,74.8,-3.28,-3.28,-1.06,-3.28,245,2,-0.51,-1.22,0.16,-0.52,-0.68,-0.83,-1.15,59.4,90.2
4,0,200909,0.09,73,-3.43,-3.43,-1.46,-3.43,228,5,-1.07,-1.19,-1.55,-0.65,-0.73,-0.82,-1.2,57.6,88.4
4,0,200910,2.07,58.1,-2.51,-2.51,1.69,-1.78,20,173,0.98,0.62,0.5,0.8,0.08,-0.57,-1.1,45.5,70.8
4,0,200911,0.99,50.9,-3,-3,-2.22,-3,5,329,-0.93,-0.21,-0.41,-0.38,-0.81,-0.9,-1.1,38.6,63.2
4,0,200912,3.15,41.8,-3,-3,-0.93,-3,0,576,-0.09,-0.64,-0.31,-0.49,-0.6,-0.87,-1.12,32.2,51.3
4,0,201001,6.48,45.2,0.67,-2.02,2,-1.14,0,491,0.93,0.6,0.15,0.24,0.34,0.09,-1.22,36.6,53.7
4,0,201002,3.65,46.8,0.66,-1.75,0.2,-0.76,0,436,0.15,0.69,0.48,0.22,0.22,-0.12,-1.05,37.5,56.1
4,0,201003,2.19,49,0.22,-1.94,-1.12,-1.36,0,420,-0.36,-0.18,0.4,0.13,0.04,-0.06,-0.88,37.2,60.9
4,0,201004,3.47,50.9,1.22,-0.72,3.06,1.03,1,388,1.46,0.52,0.34,0.3,0.36,0.43,-0.49,39,62.8
4,0,201005,1.07,56.9,1.5,1.5,1.22,1.5,14,247,0.49,1.39,0.55,0.6,0.41,0.41,-0.43,44,69.8
4,0,201006,0.26,69.1,1.93,1.93,1.77,1.93,100,55,-0.06,0.33,1.31,0.71,0.44,0.36,-0.39,55.1,83.2
4,0,201007,0.07,76.1,1.94,1.94,0.62,1.94,213,6,-0.89,-0.49,0.19,0.35,0.3,0.36,-0.4,61.2,91
4,0,201008,0.1,73.4,1.53,1.53,-0.64,1.16,193,9,-0.68,-1.22,-0.83,0.44,0.55,0.36,-0.4,58.2,88.6
4,0,201009,0.16,70.4,1.04,1.04,-0.99,0.15,154,20,-0.6,-0.94,-1.23,1.01,0.63,0.37,-0.39,54.9,86
4,0,201010,3,60.5,1.99,1.99,3.17,1.99,28,140,1.66,1.44,1.31,1.2,0.64,0.5,-0.12,49.1,71.9
4,0,201011,2.6,48.6,1.84,1.84,0.17,1.84,0,393,0.23,0.99,0.89,0.75,0.78,0.74,-0.09,37.6,59.6
4,0,201012,8.13,45.8,3.14,3.14,4.47,3.14,0,481,1.72,1.43,1.8,1.66,1.98,1.44,0.49,37.7,53.8
4,0,201101,1.28,45.2,1.98,1.98,-2.53,0.89,0,481,-1.25,0.55,0.47,0.75,0.73,0.75,0.47,34.6,55.7
4,0,201102,3.34,43.4,1.82,1.82,0.13,0.77,0,523,0.01,-0.84,0.38,0.61,0.55,0.66,0.32,32.3,54.6
4,0,201103,6.41,48.7,3.03,3.03,4.21,3.03,1,436,1.48,0.92,0.13,1.11,1.04,1.28,0.79,38.6,58.9
4,0,201104,1.1,53.4,2.47,2.47,-0.73,2.11,9,311,-0.31,1.11,0.72,0.75,0.93,0.91,0.84,41.1,65.7
4,0,201105,1.44,57.6,2.82,2.82,1.79,2.82,16,240,0.94,0.18,1.23,0.85,1.01,0.97,0.87,44.8,70.3
4,0,201106,0.92,66.9,3.42,3.42,2.67,3.42,72,80,1.74,1.43,0.55,0.24,1.11,1.05,0.9,53.3,80.5
4,0,201107,0.22,74.2,3.84,3.84,2.31,3.84,217,4,0.54,1.76,1.48,0.97,0.91,1.07,0.93,60,88.4
4,0,201108,0.1,75.2,3.5,3.5,0.17,3.5,236,3,-0.68,-0.19,1.28,1.34,0.92,1.07,0.93,59.8,90.5
4,0,201109,0.28,72.2,-0.21,2.93,-0.62,2.62,180,12,-0.1,-0.49,-0.35,0.4,0.21,1.08,0.95,57.3,87.2
4,0,201110,1.54,61.4,-0.08,2.73,0.31,2.49,43,118,0.52,0.3,0.16,1.07,0.93,0.9,0.88,48.4,74.3
4,0,201111,1.69,48.2,-0.45,2.08,-1.11,1.34,0,401,-0.37,-0.12,-0.19,0.08,0.99,0.78,0.96,37.5,58.9
4,0,201112,0.47,42.8,-1.63,0.64,-3.68,-1.53,0,573,-1.79,-1.44,-1.19,-1.32,-0.98,-0.52,0.69,30.6,55
4,0,201201,3.12,46.5,-2.27,-2.27,-2.42,-2.27,4,445,-0.22,-1.23,-1.25,-1.2,-0.85,-0.22,0.27,34.4,58.6
4,0,201202,1.22,46.5,-3.18,-3.18,-3.44,-3.18,0,438,-1.13,-0.95,-1.75,-1.61,-1.47,-0.64,0,35,58
4,0,201203,4.74,48.8,-2.31,-2.31,1.61,-1.6,1,446,0.88,-0.14,-0.31,-1.03,-1.1,-0.92,0.29,37.3,60.4
4,0,201204,2.48,55.8,-1.74,-1.74,1.01,-0.59,13,273,0.87,1.03,0.11,-0.87,-0.84,-0.58,0.19,43.1,68.4
4,0,201205,0.2,63.9,-1.96,-1.96,-1.19,-1.25,54,130,-1.43,0.28,0.78,-0.89,-0.95,-0.84,0.1,49.2,78.6
4,0,201206,0.32,69.3,-1.86,-1.86,-0.3,-1.22,108,51,0.17,-1.12,0.24,-0.25,-0.9,-0.96,0.11,54.3,84.3
4,0,201207,0.26,74.7,-1.74,-1.74,-0.24,-1.16,211,4,0.81,0.38,-0.92,-0.05,-0.99,-0.95,0.13,59.7,89.6
4,0,201208,0.3,77.8,-1.58,-1.58,-0.06,-0.99,335,0,0.57,0.79,0.44,0.81,-0.85,-0.91,0.17,62.7,92.8
4,0,201209,0.1,73.1,-1.89,-1.89,-1.39,-1.68,232,7,-0.98,-0.43,-0.2,0.13,-0.27,-0.94,0.15,57.8,88.3
4,0,201210,0.99,62.2,-1.97,-1.97,-0.85,-1.97,56,99,-0.07,-0.49,-0.4,-1.01,-0.2,-1.09,-0.09,48.9,75.4
4,0,201211,3.57,52.5,0.24,-1.53,0.73,-1.12,7,290,0.75,0.55,0.4,0.46,0.79,-0.73,0.03,41.4,63.6
4,0,201212,6.15,43,1.08,1.08,2.59,1.08,0,558,1.1,1.16,1.02,0.99,0.96,0.29,-0.21,34.3,51.8
4,0,201301,1.19,42.1,-0.8,-0.8,-2.39,-0.8,0,574,-1.32,0.02,0.21,0.1,-0.04,-0.05,-0.28,31,53.2
4,0,201302,0.58,45.3,-1.66,-1.66,-2.84,-1.66,0,475,-1.64,-2.31,-0.77,-0.58,-0.55,-0.19,-0.55,33.1,57.6
4,0,201303,1.33,53.8,-2.43,-2.43,-2.84,-2.43,8,317,-0.98,-1.98,-2.38,-0.8,-0.84,-0.78,-1.17,41,66.5
4,0,201304,0.71,58.2,-2.83,-2.83,-1.95,-2.83,22,219,-0.84,-1.39,-2.16,-0.92,-1,-1.11,-1.2,44.7,71.7
4,0,201305,0.62,63.8,-2.98,-2.98,-1.31,-2.98,64,112,-0.23,-0.95,-1.47,-1.32,-1.06,-1.03,-1.34,50.1,77.5
4,0,201306,0.38,72.4,-3.28,-3.28,-1.82,-3.28,161,22,0.38,-0.14,-0.83,-2.51,-0.96,-1.01,-1.41,57.6,87.2
4,0,201307,0.28,78,-3.51,-3.51,-1.72,-3.51,289,0,0.94,0.61,0.01,-2.26,-0.92,-1,-1.41,63.4,92.7
4,0,201308,0.38,74.4,-3.23,-3.23,-0.24,-3.23,235,2,0.92,1.1,0.83,-1.2,-1.24,-0.99,-1.39,59.8,89
4,0,201309,0.77,69.3,-2.61,-2.61,0.87,-2.2,161,21,1.02,1.12,1.22,-0.25,-2.36,-0.83,-1.31,55.6,83.1
4,0,201310,0.26,58.5,-2.93,-2.93,-1.77,-2.93,20,166,-1.2,-0.57,-0.38,-0.51,-2.15,-1.02,-1.44,44.5,72.5
4,0,201311,0.99,51.9,-3.4,-3.4,-2.32,-3.4,5,302,-0.93,-1.48,-1.21,-0.95,-1.77,-1.63,-1.57,40.2,63.7
4,0,201312,0.44,44.1,-4.37,-4.37,-3.95,-4.37,0,497,-1.81,-1.77,-2,-1.84,-2.15,-3.09,-1.58,32,56.2
4,0,201401,0.54,50.1,-5.88,-5.88,-5.89,-5.88,10,339,-1.93,-2.67,-2.32,-2.44,-2.37,-3.09,-1.84,37.2,63
4,0,201402,4.02,49.8,-5.87,-5.87,-1.79,-5.87,3,351,0.29,-0.86,-1.68,-1.97,-1.87,-2.26,-1.48,39,60.6
4,0,201403,3.28,53.5,-5.59,-5.59,-0.95,-5.59,10,300,0.24,0.27,-0.63,-1.91,-1.77,-1.96,-1.68,41.6,65.3
4,0,201404,1.06,57.7,-5.53,-5.53,-1.56,-5.53,22,217,-0.36,0,0.08,-1.73,-1.83,-1.79,-1.85,44.4,71
4,0,201405,0.35,64.6,-6.05,-6.05,-3.27,-6.05,81,91,-0.87,-0.85,-0.25,-1.59,-2.04,-1.93,-1.91,50.5,78.8
4,0,201406,0.06,71.9,-6.77,-6.77,-4.01,-6.77,151,26,-1.12,-1.44,-1.09,-0.92,-2.16,-2.05,-1.95,56.6,87.1
4,0,201407,0.22,78.4,-7.01,-7.01,-2.83,-7.01,313,0,0.54,-0.7,-1.32,-0.11,-1.97,-2.06,-1.97,64,92.7
4,0,201408,0.45,74.9,-6.35,-6.35,-0.18,-6.35,253,1,1.18,1.13,0.05,-0.24,-1.62,-2.08,-1.98,60.8,89
4,0,201409,0.72,72.2,-5.53,-5.53,0.5,-5.29,225,7,0.94,1.15,1.16,-0.48,-0.77,-2.05,-1.86,58.3,86.2
4,0,201410,1.06,64.4,-5.3,-5.3,-1,-5.3,97,60,0.01,0.26,0.46,-0.35,-0.03,-1.77,-1.79,50.8,78.1
4,0,201411,1.84,53.1,-5.22,-5.22,-1.42,-5.22,11,256,-0.26,-0.31,-0.13,-0.13,-0.43,-1.53,-2.09,42,64.2
